year,term,count
2014,advanced age,144
2014,aged,45023
2014,aging,17030
2014,ancestor,897
2014,antediluvian,55
2014,antique,5806
2014,antıque,1
2014,assisted living,5621
2014,baby boomers,1067
2014,blue hair,2219
2014,boomers,2811
2014,bubbie,796
2014,bubby,4239
2014,carehome,124
2014,centenarian,95
2014,codger,290
2014,coot,2733
2014,curmudgeon,1212
2014,dinosaur,14862
2014,doyen,93
2014,doyenne,34
2014,elder,14973
2014,elderly,35417
2014,fossil,10895
2014,fuddy-duddy,58
2014,geezer,13320
2014,geriatric,3591
2014,gerontocracy,23
2014,gramma,7782
2014,grammie,994
2014,gramps,12955
2014,grandad,41482
2014,grandfather,28563
2014,grandma,467671
2014,grandmom,6878
2014,grandmother,59785
2014,grandpa,159184
2014,grandparents,67211
2014,granny,97938
2014,gray hair,3052
2014,has-been,725
2014,hump backed,6
2014,in one's dotage,1
2014,long-lived,59
2014,matriarch,550
2014,nonagenarian,23
2014,noni,3074
2014,nonnie,745
2014,nursing home,11684
2014,oap,3986
2014,octogenarian,316
2014,ok boomer,1
2014,old age pensioner,54
2014,old as methuselah,7
2014,old fart,4541
2014,old fogy,3
2014,old hag,2170
2014,old-timer,142
2014,oldie,10441
2014,oldster,59
2014,overaged,69
2014,patriarch,421
2014,paw paw,1892
2014,pensioned,41
2014,pensioner,2642
2014,pop,192934
2014,pops,81178
2014,retired,35102
2014,retirees,989
2014,retirement,36627
2014,retıred,1
2014,saggy,10064
2014,senior citizens,3364
2014,seniors,149887
2014,septuagenarian,69
2014,sexagenarian,20
2014,silver fox,2096
2014,silver generation,9
2014,silver hair,721
2014,social security,6022
2014,superannuated,25
2014,the old,235212
2014,veteran,29499
2014,whippersnapper,542
2014,white hair,2775
2014,wrinkles,12375
2014,wrinkly,6698
2014,zadie,115
2014,zady,61
